0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.452494,-2.780741,0.735135,0.120519,-0.093688,-0.746144,0.648049,-0.165285,-0.159263,0.412937,0.299625,-0.175673,-0.067729,-0.460294,-0.393983,-0.242866,0.869624,-0.587771,-0.011696,-0.073409,0.517798,0.844929,1.301075,-0.621215,-1.862083,-0.018217
1.45305,-2.78122,0.735066,0.120437,-0.094314,-0.746089,0.648036,-0.164037,-0.160914,0.412875,0.300203,-0.176775,-0.067152,-0.459595,-0.396093,-0.242364,0.87099,-0.58858,-0.010537,-0.073676,0.517313,0.846164,1.300224,-0.621864,-1.863006,-0.016946
1.453551,-2.781645,0.73501,0.12039,-0.094856,-0.746016,0.64805,-0.162939,-0.162433,0.412756,0.300589,-0.177687,-0.066625,-0.458988,-0.398014,-0.241989,0.872149,-0.589254,-0.009469,-0.07389,0.51635,0.847259,1.299935,-0.62254,-1.863785,-0.01594
1.454004,-2.782007,0.734973,0.120392,-0.095247,-0.745934,0.648087,-0.162136,-0.163735,0.41261,0.300834,-0.178421,-0.066132,-0.45857,-0.399654,-0.241752,0.873037,-0.589738,-0.008496,-0.073945,0.514785,0.848053,1.299531,-0.623197,-1.864095,-0.015422
1.454444,-2.782298,0.734956,0.120458,-0.0955,-0.745886,0.648092,-0.161643,-0.164883,0.412589,0.300974,-0.179019,-0.065631,-0.458449,-0.401037,-0.241466,0.87367,-0.589979,-0.007597,-0.074021,0.513286,0.848742,1.29876,-0.624127,-1.864208,-0.015026
1.454876,-2.782559,0.734938,0.120644,-0.09568,-0.745872,0.648047,-0.161423,-0.166051,0.412734,0.301057,-0.179562,-0.065132,-0.458693,-0.402377,-0.240993,0.874293,-0.590147,-0.006734,-0.073929,0.512208,0.849209,1.298295,-0.625638,-1.864297,-0.014549
1.455279,-2.782813,0.734926,0.12088,-0.095685,-0.745931,0.647935,-0.161546,-0.166923,0.4131,0.301248,-0.180183,-0.064674,-0.459299,-0.403338,-0.240381,0.874751,-0.59021,-0.005943,-0.074053,0.511611,0.849171,1.298198,-0.626412,-1.864509,-0.013741
1.455635,-2.783062,0.734914,0.121024,-0.095617,-0.746052,0.647779,-0.161704,-0.167422,0.413578,0.301763,-0.180964,-0.064277,-0.459764,-0.403925,-0.239777,0.875086,-0.590223,-0.005251,-0.074284,0.511257,0.848931,1.298025,-0.626635,-1.864118,-0.013114
1.455913,-2.783307,0.734893,0.121042,-0.095571,-0.746199,0.647613,-0.161796,-0.167611,0.414078,0.302612,-0.181884,-0.063983,-0.459942,-0.404243,-0.239248,0.875385,-0.59028,-0.004697,-0.074511,0.510989,0.848453,1.297177,-0.62656,-1.863311,-0.012688
1.456132,-2.783559,0.734849,0.121032,-0.095596,-0.746334,0.647455,-0.16186,-0.167735,0.414556,0.303733,-0.182918,-0.063774,-0.460017,-0.404575,-0.23872,0.87586,-0.590506,-0.004234,-0.074672,0.511723,0.847746,1.295504,-0.626731,-1.862572,-0.012493
